126_4_parallel.json,timing,10172,7527,6258,6952,7332,6252,6560,7096,6454,5698,7219,7749,6634,7262,7365,6321,5434,6871,8065,6471,6652,7452,7991,6856,7643,7944,6444,8891,7412,7072,results,3136348028
126_2_parallel.json,timing,11320,9123,9523,11384,11425,11842,11815,12265,11870,11862,10288,8365,9914,8181,8793,9634,9064,9178,8516,8305,9342,9266,10543,9901,11040,11938,8716,9726,8928,8874,results,3136348028
126_8_parallel.json,timing,6889,6408,6805,6152,6042,7060,6831,6321,6318,6604,7279,7108,7950,7304,7137,6979,7149,7317,6596,7298,6655,6526,6775,6756,6337,6618,7166,6911,7450,7328,results,3136348028
126_16_parallel.json,timing,6879,6890,7166,6469,7160,6782,5980,6714,5920,6214,6565,7529,7286,6964,6966,6883,6962,7580,7151,7202,7420,6777,6198,6782,6961,6945,7155,7235,6544,7224,results,3136348028
126.json,timing,8057,7847,5796,5724,5717,5713,5726,5722,5699,5724,5729,5721,5720,5724,5721,5721,5720,5726,5722,5721,5717,5718,5722,5709,5721,5712,5715,5724,5719,5722,results,3136348028
126_1_parallel.json,timing,11255,13157,13798,13873,13894,11339,12978,13555,13405,13407,12769,13947,14526,12483,14084,12944,13220,12466,12387,12902,12979,14234,13246,12907,13135,12970,13234,12800,13428,13632,results,3136348028
85.json,timing,49,27,24,24,22,23,23,24,22,23,24,23,23,23,23,22,23,23,23,24,22,22,23,23,23,22,24,21,23,24,results,10862842
85_16_parallel.json,timing,133,26,23,23,24,21,20,19,19,20,18,19,18,19,19,17,18,18,17,20,18,18,19,19,17,20,20,19,18,17,results,10862842
85_8_parallel.json,timing,19,18,16,17,18,16,18,17,18,17,18,17,19,18,17,16,17,17,21,18,17,17,18,16,17,18,16,17,17,15,results,10862842
85_4_parallel.json,timing,15,17,18,18,17,17,15,16,16,17,18,15,17,18,15,17,17,18,18,18,16,18,17,17,17,20,17,18,18,16,results,10862842
85_1_parallel.json,timing,30,30,30,29,28,30,29,30,29,30,36,31,29,31,30,29,30,29,29,29,30,29,29,28,27,29,28,29,29,29,results,10862842
85_2_parallel.json,timing,21,20,20,21,20,20,20,21,21,21,22,21,21,22,20,21,24,21,20,19,21,21,23,20,20,22,22,24,20,20,results,10862842
17_1_parallel.json,timing,13,10,10,9,9,11,10,9,10,9,9,9,10,9,9,10,9,10,9,9,10,9,9,9,9,10,9,9,10,9,results,70752
17_16_parallel.json,timing,8,9,9,9,9,8,8,9,9,9,8,9,9,8,9,10,8,11,9,10,10,8,9,9,8,9,9,8,9,9,results,70752
17.json,timing,7,6,5,6,6,6,5,6,5,6,5,6,6,5,5,5,6,5,5,6,6,6,6,6,5,6,6,6,6,6,results,70752
17_8_parallel.json,timing,8,8,7,8,8,8,8,8,8,8,8,8,7,8,8,7,9,8,8,8,7,8,8,8,8,8,8,8,9,8,results,70752
17_2_parallel.json,timing,9,8,9,9,8,9,7,8,9,9,8,9,9,7,9,9,8,9,8,8,8,8,8,9,8,8,9,8,9,9,results,70752
17_4_parallel.json,timing,8,8,8,8,9,8,7,8,7,7,8,8,7,8,7,7,8,7,7,8,9,7,8,8,8,8,9,7,8,8,results,70752
133_4_parallel.json,timing,29,26,27,30,26,28,25,29,28,28,28,28,28,29,28,26,29,27,29,27,29,28,28,27,29,28,28,27,29,29,results,13971410
133_16_parallel.json,timing,31,27,31,29,30,30,29,31,30,28,29,29,29,30,28,30,29,29,29,29,29,30,30,31,30,29,28,31,29,30,results,13971410
133_2_parallel.json,timing,32,33,33,32,32,32,33,33,33,32,32,30,32,32,33,32,33,32,31,32,33,32,31,32,34,33,31,32,33,32,results,13971410
133_1_parallel.json,timing,41,40,41,41,39,41,38,41,38,42,39,41,40,40,39,41,39,41,39,42,39,42,39,42,39,40,39,40,39,41,results,13971410
133.json,timing,38,38,37,39,37,36,41,38,40,38,36,41,38,40,39,40,39,40,38,40,39,39,39,36,41,37,40,39,41,38,results,13971410
133_8_parallel.json,timing,30,28,28,28,30,29,29,27,27,28,28,28,28,28,29,28,29,27,29,27,27,26,29,30,28,28,30,28,28,29,results,13971410
31_4_parallel.json,timing,8,10,9,10,9,9,10,8,9,9,8,8,9,10,9,10,9,9,8,8,9,9,9,8,10,8,10,10,9,10,results,6672465
31_16_parallel.json,timing,10,10,10,11,9,11,11,10,9,11,9,12,9,11,10,11,9,10,9,10,10,12,9,11,9,10,11,10,12,9,results,6672465
31_1_parallel.json,timing,18,18,18,17,18,19,18,18,18,19,19,18,18,19,18,19,19,19,17,18,19,18,18,18,17,18,19,19,17,17,results,6672465
31.json,timing,19,19,18,18,19,19,19,18,18,19,18,19,18,18,18,18,19,19,18,18,18,18,19,19,19,19,19,19,18,18,results,6672465
31_2_parallel.json,timing,10,12,11,13,10,13,11,13,10,13,12,12,11,12,10,13,12,12,11,11,12,14,11,10,11,12,13,13,13,10,results,6672465
31_8_parallel.json,timing,10,7,8,8,9,8,8,10,8,8,9,9,11,8,10,8,9,8,9,10,9,10,8,9,8,9,9,9,9,8,results,6672465
