81_parallel.json,timing,9,6,5,6,8,6,6,6,6,5,results,657592
81.json,timing,11,8,8,9,8,8,9,8,9,8,results,657592
113.json,timing,54,50,48,54,58,43,43,43,43,42,results,18382871
113_parallel.json,timing,24,25,27,25,25,30,36,32,32,32,results,18382871
126_parallel.json,timing,8751,6998,8717,7085,6806,6700,6608,8056,7973,7828,results,3136348028
126.json,timing,8508,7790,7726,7728,7732,7736,7733,7736,7743,7728,results,3136348028
5_parallel.json,timing,109,17,18,15,15,15,15,17,14,16,results,7491903
5.json,timing,23,19,20,20,20,18,21,20,20,18,results,7491903
99.json,timing,14,11,12,14,11,12,11,11,11,11,results,1490297
99_parallel.json,timing,8,7,8,7,6,8,7,6,8,6,results,1490297
44.json,timing,25,17,17,17,18,17,18,17,18,18,results,2101105
44_parallel.json,timing,11,12,13,11,12,11,12,11,13,12,results,2101105
123_parallel.json,timing,239,185,182,178,180,205,193,176,188,180,results,154355934
123.json,timing,318,304,315,309,303,310,302,304,305,310,results,154355934
22.json,timing,10,10,10,9,10,9,9,10,10,10,results,2488080
22_parallel.json,timing,8,6,7,7,7,7,7,7,7,7,results,2488080
15.json,timing,32,29,30,29,28,28,29,29,28,28,results,10223864
15_parallel.json,timing,17,18,15,18,19,15,16,18,17,16,results,10223864
85_parallel.json,timing,18,17,16,17,18,15,18,18,15,17,results,10862842
85.json,timing,24,25,24,24,22,24,23,23,24,24,results,10862842
93.json,timing,9,8,8,10,8,8,9,8,8,8,results,2162683
93_parallel.json,timing,7,7,7,7,9,7,7,7,7,8,results,2162683
135_parallel.json,timing,3462,3479,3470,3447,3560,3324,3302,3168,3302,3137,results,2263957167
135.json,timing,5105,4293,4288,4301,4286,4291,4296,4293,4292,4295,results,2263957167
17_parallel.json,timing,12,8,8,8,8,8,7,8,8,7,results,70752
17.json,timing,6,6,6,5,5,7,5,5,5,6,results,70752
92_parallel.json,timing,7,6,7,8,6,8,7,7,7,7,results,155561
92.json,timing,9,10,9,9,9,9,10,9,9,11,results,155561
100.json,timing,21,18,17,18,17,18,18,19,17,17,results,303210
100_parallel.json,timing,12,11,11,10,11,11,13,9,14,10,results,303210
72_parallel.json,timing,14,14,14,13,15,14,16,14,14,16,results,1582060
72.json,timing,19,18,18,18,19,18,19,19,19,17,results,1582060
18_parallel.json,timing,7,7,7,7,7,8,7,7,8,8,results,63500
18.json,timing,8,9,10,8,9,8,8,9,8,8,results,63500
106.json,timing,14,14,14,14,15,14,14,14,15,14,results,569476
106_parallel.json,timing,10,10,10,9,9,9,9,10,10,10,results,569476
50_parallel.json,timing,4,4,5,5,4,5,5,5,4,5,results,9812
50.json,timing,7,7,7,7,7,7,7,7,6,7,results,9812
52.json,timing,467,438,433,435,434,430,443,435,431,432,results,228748307
52_parallel.json,timing,320,309,316,314,319,315,320,323,312,315,results,228748307
2_parallel.json,timing,13,14,12,13,12,13,12,15,12,14,results,10220614
2.json,timing,23,23,21,24,23,24,22,25,22,23,results,10220614
115_parallel.json,timing,48,46,47,48,48,46,47,45,47,48,results,43927632
115.json,timing,95,97,102,95,95,96,95,96,97,97,results,43927632
36.json,timing,8,8,8,8,8,8,8,8,8,8,results,52313
36_parallel.json,timing,5,4,6,6,5,6,5,5,5,6,results,52313
53.json,timing,12,12,11,12,13,12,11,12,11,12,results,913441
53_parallel.json,timing,9,10,9,10,8,8,10,9,9,10,results,913441
78.json,timing,11,12,10,11,10,10,11,11,10,10,results,426751
78_parallel.json,timing,9,10,10,11,10,10,9,9,9,9,results,426751
8.json,timing,12,10,10,10,10,10,11,11,11,10,results,481420
8_parallel.json,timing,8,6,7,7,8,6,9,6,7,8,results,481420
91.json,timing,18,17,18,18,17,18,17,18,18,18,results,4197329
91_parallel.json,timing,9,11,10,10,9,9,9,9,11,9,results,4197329
65.json,timing,15,15,15,16,15,15,16,15,14,16,results,33955
65_parallel.json,timing,14,14,14,15,13,15,15,13,16,14,results,33955
96_parallel.json,timing,19,17,19,18,17,18,18,18,17,19,results,2016238
96.json,timing,29,29,28,29,28,28,28,28,29,28,results,2016238
64_parallel.json,timing,18,19,18,18,21,18,20,19,18,20,results,692609
64.json,timing,22,22,22,20,21,20,20,22,22,21,results,692609
83_parallel.json,timing,9,9,8,9,9,9,8,8,9,9,results,2323452
83.json,timing,14,14,13,14,14,14,15,14,13,14,results,2323452
66.json,timing,19,18,19,18,20,18,18,17,19,19,results,82213
66_parallel.json,timing,13,14,15,14,12,15,14,14,15,13,results,82213
82.json,timing,15,15,15,15,15,14,15,15,16,14,results,1771584
82_parallel.json,timing,10,10,12,11,10,10,11,10,11,10,results,1771584
95_parallel.json,timing,11,11,13,12,11,12,13,11,11,12,results,4254157
95.json,timing,23,22,24,23,23,23,22,23,23,24,results,4254157
35.json,timing,13,14,15,14,13,13,14,14,13,14,results,3169724
35_parallel.json,timing,7,8,7,9,6,7,7,7,9,7,results,3169724
28.json,timing,46,44,43,45,44,44,43,44,43,43,results,16049150
28_parallel.json,timing,13,15,13,14,14,14,15,16,17,12,results,16049150
14_parallel.json,timing,6,5,6,6,5,6,6,7,5,8,results,200
14.json,timing,8,7,8,8,7,7,7,7,7,7,results,200
136_parallel.json,timing,316,317,317,313,318,320,320,318,324,315,results,255355807
136.json,timing,490,497,495,493,494,496,492,492,493,500,results,255355807
4_parallel.json,timing,9,9,9,9,9,10,9,9,9,10,results,1709781
4.json,timing,11,12,11,11,11,11,11,11,11,11,results,1709781
124.json,timing,22,21,21,21,21,20,21,21,21,20,results,6351775
124_parallel.json,timing,11,12,10,12,11,11,10,13,10,11,results,6351775
138.json,timing,137,138,139,137,137,136,142,140,137,139,results,15677331
138_parallel.json,timing,95,91,90,90,89,90,92,93,89,92,results,15677331
13.json,timing,9,9,9,9,10,9,9,9,8,9,results,315516
13_parallel.json,timing,6,7,7,6,7,7,7,6,7,8,results,315516
10.json,timing,12,10,10,10,10,11,10,11,9,10,results,780683
10_parallel.json,timing,6,6,6,6,7,7,7,8,6,6,results,780683
6.json,timing,5,4,4,4,5,6,4,4,5,4,results,428612
6_parallel.json,timing,3,3,3,3,3,3,3,3,3,4,results,428612
112.json,timing,13,13,13,18,16,13,13,13,14,14,results,1839326
112_parallel.json,timing,11,13,12,13,11,11,12,11,12,11,results,1839326
133.json,timing,41,39,40,39,38,36,40,39,39,38,results,13971410
133_parallel.json,timing,28,27,29,28,27,27,27,27,26,29,results,13971410
39.json,timing,20,18,19,19,18,19,18,18,19,18,results,2034610
39_parallel.json,timing,13,13,11,14,11,12,12,11,14,11,results,2034610
63.json,timing,10,9,10,10,10,10,9,9,9,10,results,8893
63_parallel.json,timing,10,9,9,9,10,9,10,9,9,9,results,8893
41_parallel.json,timing,5,4,4,4,4,4,5,4,4,5,results,1717
41.json,timing,5,5,5,5,5,5,6,5,5,6,results,1717
71.json,timing,181,170,172,173,170,174,177,171,171,174,results,58623592
71_parallel.json,timing,125,122,127,122,124,124,124,122,125,125,results,58623592
129_parallel.json,timing,15,14,15,15,15,15,15,16,15,15,results,914210
129.json,timing,16,18,17,16,17,17,16,17,16,16,results,914210
59_parallel.json,timing,401,406,397,402,398,397,404,401,400,400,results,88962973
59.json,timing,466,470,463,469,464,472,466,465,466,465,results,88962973
9_parallel.json,timing,8,7,7,7,7,9,7,7,9,7,results,698213
9.json,timing,14,12,14,13,14,12,12,14,14,12,results,698213
134_parallel.json,timing,12,11,13,12,12,13,11,13,11,12,results,16698
134.json,timing,14,14,14,14,13,14,14,14,14,14,results,16698
132_parallel.json,timing,11,13,14,11,12,11,11,11,11,12,results,96484
132.json,timing,16,15,16,15,15,16,15,16,16,16,results,96484
43_parallel.json,timing,11,10,11,10,12,10,10,10,10,13,results,7661811
43.json,timing,20,19,19,19,19,18,20,19,19,18,results,7661811
