81_parallel.json,timing,15,13,11,13,13,12,11,12,10,11,results,657592
81.json,timing,9,9,8,8,8,9,8,8,8,8,results,657592
113.json,timing,56,46,42,43,41,44,42,43,41,43,results,18382871
113_parallel.json,timing,62,55,60,71,55,55,53,53,53,50,results,18382871
126_parallel.json,timing,15467,13569,13026,13224,12832,12838,13228,14227,13463,13653,results,3136348028
126.json,timing,7562,7620,6729,6708,6734,6721,6742,6745,6732,6739,results,3136348028
5_parallel.json,timing,141,26,23,22,23,24,24,23,24,24,results,7491903
5.json,timing,28,22,21,22,19,20,20,21,20,22,results,7491903
99.json,timing,15,11,11,10,11,10,12,10,11,11,results,1490297
99_parallel.json,timing,19,15,13,14,13,15,14,14,15,13,results,1490297
44.json,timing,22,16,17,16,17,17,16,17,16,17,results,2101105
44_parallel.json,timing,22,20,20,20,21,20,21,20,21,20,results,2101105
123_parallel.json,timing,447,301,304,306,311,308,306,301,310,315,results,154355934
123.json,timing,326,299,302,306,307,309,303,301,299,309,results,154355934
22.json,timing,10,10,10,9,10,9,10,9,9,10,results,2488080
22_parallel.json,timing,15,14,15,14,15,14,14,15,14,14,results,2488080
15.json,timing,32,28,28,29,27,27,30,28,28,27,results,10223864
15_parallel.json,timing,34,35,35,33,33,35,33,36,34,35,results,10223864
85_parallel.json,timing,30,30,30,28,28,30,31,30,31,31,results,10862842
85.json,timing,25,24,26,24,26,23,23,23,25,24,results,10862842
93.json,timing,11,9,10,10,9,11,10,10,10,10,results,2162683
93_parallel.json,timing,13,13,12,13,12,13,12,12,13,12,results,2162683
135_parallel.json,timing,5486,4255,4265,4264,4261,4253,4270,4265,4274,4258,results,2263957167
135.json,timing,5047,4599,4222,4225,4225,4230,4233,4230,4232,4231,results,2263957167
17_parallel.json,timing,13,9,9,9,10,9,9,9,8,9,results,70752
17.json,timing,6,6,6,6,5,5,6,6,6,6,results,70752
92_parallel.json,timing,14,12,14,12,13,13,14,13,13,12,results,155561
92.json,timing,11,10,9,9,11,9,10,10,9,10,results,155561
