81_parallel.json,timing,13,11,11,10,9,10,9,10,9,10,results,657592
81.json,timing,11,9,8,8,8,9,8,9,8,7,results,657592
113.json,timing,59,48,45,43,44,44,42,46,42,46,results,18382871
113_parallel.json,timing,59,53,59,68,55,51,51,50,49,51,results,18382871
126_parallel.json,timing,13898,14559,12488,12659,13330,12817,13273,12904,12935,12706,results,3136348028
126.json,timing,7878,7874,7372,6515,6388,6361,7589,7227,5901,5661,results,3136348028
5_parallel.json,timing,63,29,30,190,20,23,23,20,29,20,results,7491903
5.json,timing,21,21,21,21,18,19,19,21,19,21,results,7491903
99.json,timing,15,12,12,11,12,11,13,11,12,12,results,1490297
99_parallel.json,timing,17,20,12,10,15,11,11,11,12,11,results,1490297
44.json,timing,24,19,17,17,17,18,17,18,17,18,results,2101105
44_parallel.json,timing,30,19,19,19,20,21,18,21,18,18,results,2101105
123_parallel.json,timing,371,310,314,321,312,315,312,309,313,310,results,154355934
123.json,timing,303,299,306,298,301,302,302,299,295,300,results,154355934
22.json,timing,10,10,10,9,10,9,10,10,9,10,results,2488080
22_parallel.json,timing,14,13,13,14,13,14,13,14,13,13,results,2488080
15.json,timing,32,28,29,29,27,29,28,28,27,28,results,10223864
15_parallel.json,timing,31,33,30,30,30,32,30,30,33,31,results,10223864
85_parallel.json,timing,28,27,27,28,27,28,28,28,27,28,results,10862842
85.json,timing,24,24,25,24,23,23,23,23,23,23,results,10862842
93.json,timing,9,9,9,8,10,9,8,8,8,9,results,2162683
93_parallel.json,timing,12,11,11,11,12,11,14,11,13,11,results,2162683
135_parallel.json,timing,5129,4253,4990,4346,4511,4315,4745,4288,4288,4285,results,2263957167
135.json,timing,4771,4294,4283,4298,4288,4291,4291,4289,4284,4282,results,2263957167
17_parallel.json,timing,13,10,9,9,9,9,10,9,9,10,results,70752
17.json,timing,6,6,6,5,6,6,6,7,6,6,results,70752
92_parallel.json,timing,11,11,11,10,11,11,11,11,12,11,results,155561
92.json,timing,10,9,10,9,9,10,9,9,10,9,results,155561
100.json,timing,21,19,17,17,18,18,16,19,18,17,results,303210
100_parallel.json,timing,19,20,21,20,19,20,21,19,19,19,results,303210
72_parallel.json,timing,21,23,22,22,21,21,22,20,20,21,results,1582060
72.json,timing,20,19,18,19,18,19,18,19,18,19,results,1582060
18_parallel.json,timing,9,9,9,8,8,9,11,8,9,9,results,63500
18.json,timing,8,8,8,8,8,8,8,8,8,9,results,63500
106.json,timing,14,16,15,14,15,14,15,16,14,16,results,569476
106_parallel.json,timing,13,13,15,13,14,14,13,14,13,16,results,569476
50_parallel.json,timing,6,5,5,5,5,4,5,5,5,5,results,9812
50.json,timing,7,6,7,8,6,7,6,7,7,7,results,9812
52.json,timing,466,454,441,440,431,440,438,430,431,432,results,228748307
52_parallel.json,timing,518,486,455,453,472,449,457,454,454,455,results,228748307
2_parallel.json,timing,30,26,28,25,26,25,24,25,25,28,results,10220614
2.json,timing,22,23,24,23,21,23,24,23,23,21,results,10220614
115_parallel.json,timing,105,103,102,103,101,102,103,102,103,103,results,43927632
115.json,timing,96,98,97,96,95,95,95,95,98,95,results,43927632
36.json,timing,8,9,8,9,8,8,8,8,8,9,results,52313
36_parallel.json,timing,7,7,7,6,7,9,7,8,7,7,results,52313
53.json,timing,12,13,12,12,13,12,12,12,11,12,results,913441
53_parallel.json,timing,15,15,17,15,16,15,16,16,15,16,results,913441
78.json,timing,10,10,11,10,11,10,10,10,10,10,results,426751
